af,seed,val_loss_e1,val_acc_e1
ReLU,42,0.6615,63.85
ReLU,0,0.5867,70.45
ReLU,1,0.6858,49.83
ReLU,2,0.6699,60.45
ReLU,3,0.6555,62.95
ELU,42,0.5702,71.3
ELU,0,0.6849,55.33
ELU,1,0.6774,59.1
ELU,2,0.6146,68.67
ELU,3,0.6753,56.6
LeakyReLU,42,0.6556,65.05
LeakyReLU,0,0.6681,61.0
LeakyReLU,1,0.6785,54.8
LeakyReLU,2,0.627,66.75
LeakyReLU,3,0.6461,64.38
Tanh,42,0.6398,68.38
Tanh,0,0.6302,67.6
Tanh,1,0.6941,49.83
Tanh,2,0.6377,64.6
Tanh,3,0.6538,63.4
GELU,42,0.4792,78.0
GELU,0,0.5708,71.7
GELU,1,0.4737,77.7
GELU,2,0.5918,72.05
GELU,3,0.5906,71.62
SiLU,42,0.5812,71.43
SiLU,0,0.5494,72.9
SiLU,1,0.6295,67.42
SiLU,2,0.4608,78.08
SiLU,3,0.5683,70.15
Mish,42,0.4163,81.08
Mish,0,0.6434,70.97
Mish,1,0.645,66.42
Mish,2,0.4538,78.92
Mish,3,0.5633,72.75
SELU,42,0.6526,62.2
SELU,0,0.6565,62.38
SELU,1,0.7041,59.82
SELU,2,0.6695,58.58
SELU,3,0.6874,53.23
PReLU,42,0.5804,69.8
PReLU,0,0.6497,64.53
PReLU,1,0.6364,65.12
PReLU,2,0.6369,68.42
PReLU,3,0.6203,66.5
Hardswish,42,0.4648,78.1
Hardswish,0,0.542,73.95
Hardswish,1,0.5194,75.48
Hardswish,2,0.4757,77.3
Hardswish,3,0.6146,67.9
