act1,act2,experiment,seed,accuracy,precision,recall,f1,best_epoch,stop_epoch,cell,family,bidir2
ReLU,ReLU,BiLSTM+LSTM,10,86.93,85.92,88.34,87.11,7,10,ReLU+ReLU,LSTM,False
ReLU,ELU,BiLSTM+LSTM,10,86.09,88.24,83.28,85.69,8,10,ReLU+ELU,LSTM,False
ReLU,LeakyReLU,BiLSTM+LSTM,10,86.94,88.92,84.4,86.6,6,9,ReLU+LeakyReLU,LSTM,False
ReLU,Tanh,BiLSTM+LSTM,10,86.73,85.26,88.82,87.0,8,10,ReLU+Tanh,LSTM,False
ReLU,GELU,BiLSTM+LSTM,10,87.35,87.57,87.06,87.31,7,10,ReLU+GELU,LSTM,False
ReLU,SiLU,BiLSTM+LSTM,10,86.86,85.91,88.18,87.03,7,10,ReLU+SiLU,LSTM,False
ReLU,Mish,BiLSTM+LSTM,10,86.15,88.21,83.46,85.77,9,10,ReLU+Mish,LSTM,False
ReLU,SELU,BiLSTM+LSTM,10,85.72,88.52,82.08,85.18,8,10,ReLU+SELU,LSTM,False
ReLU,PReLU,BiLSTM+LSTM,10,87.27,87.68,86.72,87.2,7,10,ReLU+PReLU,LSTM,False
ReLU,Hardswish,BiLSTM+LSTM,10,86.67,88.17,84.7,86.4,8,10,ReLU+Hardswish,LSTM,False
ELU,ReLU,BiLSTM+LSTM,10,85.45,84.6,86.68,85.63,4,7,ELU+ReLU,LSTM,False
ELU,ELU,BiLSTM+LSTM,10,86.47,88.96,83.28,86.02,8,10,ELU+ELU,LSTM,False
ELU,LeakyReLU,BiLSTM+LSTM,10,85.99,88.3,82.98,85.56,6,9,ELU+LeakyReLU,LSTM,False
ELU,Tanh,BiLSTM+LSTM,10,86.77,86.49,87.16,86.82,10,10,ELU+Tanh,LSTM,False
ELU,GELU,BiLSTM+LSTM,10,87.25,86.96,87.64,87.3,7,10,ELU+GELU,LSTM,False
ELU,SiLU,BiLSTM+LSTM,10,87.0,87.59,86.22,86.9,7,10,ELU+SiLU,LSTM,False
ELU,Mish,BiLSTM+LSTM,10,87.37,86.66,88.34,87.49,7,10,ELU+Mish,LSTM,False
ELU,SELU,BiLSTM+LSTM,10,87.04,87.87,85.94,86.9,6,9,ELU+SELU,LSTM,False
ELU,PReLU,BiLSTM+LSTM,10,85.91,84.84,87.44,86.12,5,8,ELU+PReLU,LSTM,False
ELU,Hardswish,BiLSTM+LSTM,10,86.73,88.83,84.02,86.36,6,9,ELU+Hardswish,LSTM,False
LeakyReLU,ReLU,BiLSTM+LSTM,10,86.89,87.96,85.48,86.7,8,10,LeakyReLU+ReLU,LSTM,False
LeakyReLU,ELU,BiLSTM+LSTM,10,87.41,86.71,88.36,87.53,7,10,LeakyReLU+ELU,LSTM,False
LeakyReLU,LeakyReLU,BiLSTM+LSTM,10,87.37,87.77,86.84,87.3,7,10,LeakyReLU+LeakyReLU,LSTM,False
LeakyReLU,Tanh,BiLSTM+LSTM,10,86.49,86.78,86.1,86.44,8,10,LeakyReLU+Tanh,LSTM,False
LeakyReLU,GELU,BiLSTM+LSTM,10,87.39,86.49,88.62,87.54,7,10,LeakyReLU+GELU,LSTM,False
